The first official complete sell out came at Revolution 14 and is now a regular occurrence .,The first official sell-out was Revolution 14 .
"Since 1980 , Iraq has been in every game despite the Iraq War ] ] .","Since 1980 , Iraq has appeared in every game despite the Iraq Wars ."
He competed in team épée events at the 1960 Summer Olympics .,He competed in the individual and team épée events at the 1960 Summer Olympics .
It was founded in 2010 by Stefano Bandecchi .,It was founded in 2010 and is led by Stefano Bandecchi .
"The arena opened on November 10 , 1974 , and is the current home to the Edmonton Oilers of the National Hockey League ( NHL ) , the Edmonton Oil Kings of the Western Hockey League ( WHL ) and the Edmonton Rush of the National Lacrosse League ( NLL ) .","It was the home to the Edmonton Oilers of the National Hockey League ( NHL ) , and the Edmonton Oil Kings of the Western Hockey League ( WHL ) ."
Many things can play a part in a player 's success in arm wrestling .,Various factors can play a part in one 's success in arm wrestling .
Lopata played in Major League Baseball as a catcher for parts of 13 seasons with the Philadelphia Phillies and Milwaukee Braves .,"A catcher , Lopata played in Major League Baseball for 13 seasons in the National League with the Philadelphia Phillies and Milwaukee Braves ."
"Hans Sturm ( born 3 September , 1935 ) is a former German football player .",Hans Sturm ( 3 September 1935 – 24 June 2007 ) was a German football player .
Some believe that he was better than World Champion Emanuel Lasker at this time .,Some believe that he was better than world champion Emanuel Lasker at this time .
Cavendish 's pre-season goals were to win the green jersey in the Tour de France and win the Road Race at the 2010 World Championships .,Cavendish won stage 7 of the Tour de France in a sprint finish .
"They play their home games in Spokane , Washington at the Spokane Veterans Memorial Arena .",The team plays its home games at the Spokane Arena .
"The IIHF was created in 1908 while the European Championships , the predecessor to the World Championships , were first held in 1910 .","The IIHF was created in 1908 while the European Championships , the precursor to the World Championships , were first held in 1910 ."
"The Deutsche Eishockey Liga ( `` German Ice Hockey League '' , shortname DEL ) is a German professional ice hockey league , which currently has the highest number of American and Canadian players outside of North America .","The Deutsche Eishockey Liga ( `` German Ice Hockey League '' , shortname DEL ) is a German professional ice hockey league that was founded in 1994 ."
"Lidio John Fogolin , Sr. ( born February 27 , 1926 in Fort William , Ontario - d. November 29 , 2000 ) was a Canadian professional ice hockey player for the Detroit Red Wings and Chicago Black Hawks of the NHL .","Lidio John Fogolin , Sr. ( February 27 , 1927 - November 29 , 2000 ) was a professional ice hockey player for the Detroit Red Wings and Chicago Black Hawks of the NHL ."
The athletics teams of the university are called the Blue Demons .,The school mascot is the Blue Demons .
"November to Remember 1993 took place on November 13 , 1993 at the ECW Arena in Philadelphia , Pennsylvania .","November to Remember 1998 took place on November 1 , 1998 from the Lakefront Arena in New Orleans , Louisiana ."
"On March 14 , 2012 , Johnson signed a 4-year contract with the San Diego Chargers without giving the Ravens a chance to match the offer .","On March 14 , 2012 , Johnson agreed to a four-year deal with the San Diego Chargers ."
"Thirty-seven minutes after the crash , at 2:55 p.m. local time , the race was restarted .","Thirty-seven minutes after the crash , at 2:55 pm local time , the race was restarted ."
The arena has 702 club seats and 68 suites .,It contains 702 club seats and 68 suites .
"Largemouth also consume younger members of larger fish species , such as pike , catfish , trout , walleye , white bass , and striped bass .","It also consumes younger members of larger fish species , such as pike , catfish , trout , walleye , white bass , striped bass , and even smaller black bass ."
The GranTurismo was first shown at the 2007 Geneva Motor Show in Geneva .,The vehicle was unveiled in 2009 Geneva Motor Show .
"He played 6 seasons with the Thrashers before being traded to the Toronto Maple Leafs along with Colin Stuart on July 1 , 2009 for Pavel Kubina and the rights to Tim Stapleton .","On July 1 , 2009 , Exelby was traded to the Toronto Maple Leafs with Colin Stuart for Pavel Kubina and the rights to Tim Stapleton ."
"Bull fighting is still enjoyed during the Feria season , which is during the month of August , and during the Feria de la Primavera , which is in early May .","Bullfighting is still enjoyed during the Feria season during the month of August , and during the `` Feria de la Primavera '' ( Spring Fair ) in early May ."
"Former Scottish football player and Arsenal manager , George Graham was born at Bargeddie on 30 November 1944 .",Former Scottish football player and Arsenal manager George Graham was born in Bargeddie .
"Draft order in the Entry Draft is determined by a combination of lottery , regular season standing , and playoff results .","The selection order in the NHL Entry Draft is determined by a combination of lottery , regular season standing , and playoff results ."
Brewer would play 6 seasons with the Blues and was traded to Tampa Bay Lightning for Brock Beukeboom and a third round selection in the 2011 NHL Entry Draft .,"On February 18 , 2011 , Brewer was traded to the Tampa Bay Lightning for Brock Beukeboom and Tampa Bay 's third-round selection in the 2011 NHL Entry Draft ."
"Tim Brando ( born February 27 , 1956 ) is an American sportscaster .","Tim Brando ( born February 27 , 1956 ) is an American sportscaster with FOX Sports ."
Goldsworthy won the Stanley Cup while a member of the Chicago Black Hawks in 1934 .,He won the Stanley Cup in 1934 with the Chicago Black Hawks .
Kevin Casey handles PA duties for the Philadelphia Wings .,Kevin Casey handled PA duties for the Philadelphia Wings during their tenure .
"Charles `` Bo '' Outlaw ( born April 13 , 1971 ; also known as Bo Outlaw ) is a retired basketball player who played in the National Basketball Association ( NBA ) .","Charles `` Bo '' Outlaw ( born April 13 , 1971 ) is a retired American professional basketball player ."
Alexander Ovechkin • Joe Thornton • Jaromir Jagr,Alexander Ovechkin • Evgeni Malkin • Jarome Iginla
Sports in Japan are a part of Japanese culture .,Sports in Japan are a significant part of Japanese culture .
"He also took part in the British Formula Ford Winter Series , and became the first Indian to win any championship in Europe .","Karthikeyan also took part in the British Formula Ford Winter Series , and became the first Indian to win any championship in Europe ."
He finished fifth in the 50 meter butterfly race .,He finished fourth in the 50 meter freestyle race .
"It took place on April 7 , 1986 at three venues : the Nassau Veterans Memorial Coliseum in Uniondale , New York , the Rosemont Horizon in Rosemont , Illinois , and the Los Angeles Memorial Sports Arena in Los Angeles , California .","WrestleMania 2 took place at three venues : the Nassau Veterans Memorial Coliseum in Uniondale , New York , the Rosemont Horizon in Rosemont , Illinois , and the Los Angeles Memorial Sports Arena in Los Angeles , California ."
"In both types of time trial , each cyclist or team starts the race at different times so that each start is fair and equal .","In both team and individual time trials , the cyclists start the race at different times so that each start is fair and equal ."
"He played for Bohemians , Glentoran , Sunderland , Hartlepool United , Cork Celtic , Cork Hibernian and the national team .","He played at club level for Bohemians , Glentoran , Sunderland , Hartlepool United , Cork Celtic and Cork Hibernian ."
Vergeer has been the world number one since 1999 .,Vergeer finished the year as number one .
"Punk competed in a interbrand tag team match at Bragging Rights after he injured Evan Bourne to take his place , but the team lost .","He took part in the interbrand tag team match at Bragging Rights after injuring Evan Bourne to win a place , but the team lost ."
